"draw_size";"p1_seed";"p1_name";"p1_ht";"p1_age";"p2_seed";"p2_name";"p2_ht";"p2_age";"best_of";"p1_rank";"p1_rank_points";"p2_rank";"p2_rank_points";"hard";"carpet";"clay";"grass";"p1_abs_wins_clay";"p1_abs_wins_hard";"p1_abs_wins_carpet";"p1_abs_wins_grass";"p2_abs_losses_clay";"p2_abs_losses_hard";"p2_abs_losses_carpet";"p2_abs_losses_grass";"p1_abs_losses_clay";"p1_abs_losses_hard";"p1_abs_losses_carpet";"p1_abs_losses_grass";"p2_abs_wins_clay";"p2_abs_wins_hard";"p2_abs_wins_carpet";"p2_abs_wins_grass";"Grand_Slam";"Masters1000";"Olympics";"Another_level";"p1_abs_wins_level1";"p1_abs_wins_level2";"p2_abs_losses_level1";"p2_abs_losses_level2";"p1_abs_losses_level1";"p1_abs_losses_level2";"p2_abs_wins_level1";"p2_abs_wins_level2";"tournament_year";"p1_h2h";"p2_h2h";"R64";"R32";"R16";"QF";"SF";"Final";"p1_hand_R";"p1_hand_L";"p2_hand_R";"p2_hand_L";"p1_ace_avg";"p2_ace_avg";"p1_df_avg";"p2_df_avg";"p1_svpt_avg";"p2_svpt_avg";"p1_1stIn_avg";"p2_1stIn_avg";"p1_1stWon_avg";"p2_1stWon_avg";"p1_2ndWon_avg";"p2_2ndWon_avg";"p1_SvGms_avg";"p2_SvGms_avg";"p1_bpSaved_avg";"p2_bpSaved_avg";"p1_bpFaced_avg";"p2_bpFaced_avg";"p1_home";"p2_home";"winner_last_name";"loser_last_name";"FirstAlphabetically";"target"
"84688";32;6;"Guy Forget";190;26.1;7;"Jonas Svensson";188;24.3;3;7;1592;13;1300;0;1;0;0;66;75;42;26;37;40;30;10;0;0;37;0;0;0;57;0;0;0;0;1;69;140;35;82;0;108;0;127;1991;1;1;0;0;0;0;1;0;0;1;1;0;6;4;1;1.6;80;81.6;39;46.8;28;35;25;19.4;14;12.6;2;4.4;5;6;0;0;"Svensson";"Forget";"Forget";0
"84690";32;2;"Stefan Edberg";188;25;7;"Jonas Svensson";188;24.3;5;1;3853;13;1300;0;1;0;0;0;0;110;0;0;0;30;0;28;48;41;16;47;66;58;10;0;0;0;1;0;252;0;82;52;81;53;128;1991;6;0;0;0;0;0;0;1;1;0;1;0;3.08333333333333;3.66666666666667;3.41666666666667;3.33333333333333;77.0833333333333;76.3333333333333;51;44.3333333333333;37.75;27.6666666666667;13.4166666666667;12;12;12;3.41666666666667;3.66666666666667;4.91666666666667;9.33333333333333;0;0;"Edberg";"Svensson";"Edberg";1
"84720";32;1;"John McEnroe";180;32;7;"Patrick McEnroe";183;24.6;3;19;1072;51;593;0;1;0;0;0;0;338;0;0;0;11;0;43;48;56;16;0;18;7;3;0;0;0;1;0;588;0;34;62;101;8;20;1991;1;0;0;0;0;0;0;1;0;1;1;0;5.875;1.25;5.125;1.75;68.375;75.5;38.375;46.5;30.5;26.5;14.625;13.5;10.5;11.5;2.5;4.75;3.75;10;1;1;"McEnroe";"McEnroe";"McEnroe";1
"84744";32;7;"Jakob Hlasek";188;26.2;1;"Ivan Lendl";188;30.9;3;17;1165;3;2416;0;1;0;0;72;84;83;17;56;43;38;21;0;0;44;0;0;0;233;0;0;0;0;1;71;185;60;98;0;116;0;574;1991;1;7;0;0;0;1;0;0;1;0;1;0;3.6;7.21052631578947;2;2.73684210526316;84.8;79.7894736842105;46.8;44.6315789473684;33;35.7368421052632;18.8;20.4736842105263;12.8;13.2105263157895;3;2.57894736842105;6;3.73684210526316;0;0;"Lendl";"Hlasek";"Hlasek";0
"84775";32;7;"Christian Bergstrom";180;23.6;1;"Jonas Svensson";188;24.3;3;52;598;14;1283;0;1;0;0;22;27;19;7;37;40;32;10;0;0;17;0;0;0;60;0;0;0;0;1;16;59;35;84;0;57;0;130;1991;0;1;0;0;0;1;0;0;1;0;1;0;1.6;5;0.2;1.25;89.6;79.75;69.2;48;38.6;35;10.4;17.375;12.8;12.5;5.8;3.25;10.6;5;0;0;"Svensson";"Bergstrom";"Bergstrom";0
"84777";32;4;"Karel Novacek";190;25.9;6;"Todd Woodbridge";178;19.9;3;24;951;47;640;0;1;0;0;78;21;14;4;3;21;5;5;0;0;24;0;0;0;3;0;0;0;0;1;23;94;13;21;0;79;0;21;1991;0;0;0;0;0;1;0;0;1;0;1;0;4.16666666666667;2.71428571428571;2.16666666666667;2.57142857142857;85.8333333333333;75.4285714285714;53.6666666666667;46.5714285714286;35;33.2857142857143;16.1666666666667;17.2857142857143;13;12;4.5;3.14285714285714;8;4.71428571428571;0;0;"Woodbridge";"Novacek";"Novacek";0
"84779";32;3;"Jakob Hlasek";188;26.3;1;"Jonas Svensson";188;24.3;3;18;1129;14;1283;0;1;0;0;72;84;86;17;37;40;32;10;0;0;45;0;0;0;61;0;0;0;0;1;71;188;35;84;0;117;0;131;1991;3;2;0;0;0;0;1;0;1;0;1;0;4.5;5;2;1.33333333333333;84.8333333333333;81;46.8333333333333;49.8888888888889;33.5;36.1111111111111;18.6666666666667;16.4444444444444;13.1666666666667;12.3333333333333;3.16666666666667;3.66666666666667;6.33333333333333;5.44444444444444;0;0;"Svensson";"Hlasek";"Hlasek";0
"84780";32;8;"Anders Jarryd";180;29.6;6;"Todd Woodbridge";178;19.9;3;46;641;47;640;0;1;0;0;0;0;109;0;0;0;5;0;51;52;46;16;1;25;4;1;0;0;0;1;0;217;0;21;55;110;9;22;1991;0;0;0;0;0;0;1;0;1;0;1;0;2.125;1.6;1.75;2.4;52.75;71;31.25;44.2;26;25.6;12.625;10.6;9.125;10.6;1.625;4.2;2;9.4;0;0;"Jarryd";"Woodbridge";"Jarryd";1
"84781";32;8;"Anders Jarryd";180;29.6;1;"Jonas Svensson";188;24.3;3;46;641;14;1283;0;1;0;0;86;102;110;24;37;40;32;10;0;0;46;0;0;0;62;0;0;0;0;1;104;218;35;84;0;110;0;132;1991;3;1;0;0;0;0;0;1;1;0;1;0;2.25;5.2;3.25;1.4;75;80.9;34.5;49.2;21.75;35.8;17.75;16.6;11.25;12.3;5.5;4.1;10.25;6;0;0;"Svensson";"Jarryd";"Jarryd";0
"84785";56;9;"Marcelo Filippini";178;23.5;15;"Michael Chang";175;19;3;53;591;13;1288;1;0;0;0;71;14;2;0;10;29;13;5;0;19;0;0;0;61;0;0;0;1;0;0;7;80;21;36;14;0;46;0;1991;0;1;1;0;0;0;0;0;1;0;1;0;3;0.6;1.33333333333333;1.4;79.6666666666667;75.6;47.6666666666667;48.6;32.6666666666667;31.8;16;14.8;12;11.6;5;5;7.66666666666667;7.6;0;1;"Chang";"Filippini";"Filippini";0
